ID	logFC	t	P.Value	adj.P.Val	B
hsa02010	-0.0121950300236233	-3.20734413583899	0.00156606044443703	0.00916605966008729	-2.62486536097849
hsa04360	0.0192000843072666	3.17868923870458	0.00172083454924041	0.00969848204871535	-2.71205556757753
hsa00010	0.0108209880621093	3.1630735260356	0.00181103322867971	0.00969848204871535	-2.7592737000157
hsa04213	0.0121634504972423	3.1602570031237	0.00182776073020781	0.00969848204871535	-2.76776785637837
hsa04217	-0.0226272530002363	-3.15622246597869	0.00185197144648836	0.00969848204871535	-2.77992344160929
hsa04923	-0.0258456997007337	-3.08483009584732	0.00233259105543509	0.0118452906464309	-2.9926969383075
hsa00270	0.017106943240091	3.07841807707204	0.0023809629440062	0.0118452906464309	-3.01159113065079
hsa04390	0.0137715751625329	3.06075312730376	0.00251905328222132	0.0119884152917882	-3.06345962286754
hsa04727	0.0245022448607419	3.05936415829838	0.00253021830278947	0.0119884152917882	-3.06752647462322
hsa05211	0.0124459923712354	3.02078341355485	0.00285917538022718	0.0132319976898886	-3.17981874701845
hsa00230	0.0196156294832388	2.94517907652307	0.00362052760272805	0.0163746589305201	-3.39610256288312
hsa03013	0.0119145261207811	2.92886489326588	0.00380747051759376	0.0168374807333591	-3.44211587803377
hsa05412	0.0240759187782205	2.8755954773883	0.00448110920233303	0.0188442772047445	-3.59072797219797
hsa04622	-0.013292784993868	-2.87090512796161	0.00454535329561677	0.0188442772047445	-3.60369328151604
hsa05131	-0.013292784993868	-2.87090512796161	0.00454535329561677	0.0188442772047445	-3.60369328151604
hsa04080	0.0199241073989551	2.81933403357675	0.00530927406464755	0.0215621538543849	-3.74496477135753
hsa04921	0.0233589048462912	2.81139196312617	0.00543679314463669	0.021638436715654	-3.76651135403987
hsa04657	-0.0120132914549691	-2.78999593228033	0.00579431473487166	0.0218610478813694	-3.82427914392935
hsa05167	-0.0120132914549691	-2.78999593228033	0.00579431473487166	0.0218610478813694	-3.82427914392935
hsa00500	-0.0245743203825006	-2.78376871805959	0.00590231119625022	0.0218610478813694	-3.84101566692816
hsa04960	0.019579399072847	2.78206678630629	0.00593214364620075	0.0218610478813694	-3.84558384218207
hsa03008	-0.0058732484485633	-2.74948726787149	0.00653025401322946	0.0236276463387757	-3.93253309467386
hsa04726	-0.0122601702962539	-2.72701426337173	0.00697413292454651	0.0247830794997278	-3.99195743160503
hsa04910	0.0144488137222325	2.70344123740534	0.00746892213950146	0.0252604047306776	-4.05380485904167
hsa00830	-0.0160774851071754	-2.70172290100795	0.00750620110609743	0.0252604047306776	-4.05829370652592
hsa00190	-0.0108957179334275	-2.69669707357704	0.00761620243136007	0.0252604047306776	-4.07140758673615
hsa05012	-0.0108957179334275	-2.69669707357704	0.00761620243136007	0.0252604047306776	-4.07140758673615
hsa00330	-0.0120393117324595	-2.68290126144046	0.00792567833351824	0.0258559014486906	-4.10728847581941
hsa05142	-0.0285764258390886	-2.66215089260408	0.00841256462692112	0.0260982367785434	-4.16093519925429
hsa04670	-0.0157254064200716	-2.65219130598155	0.0086556966200194	0.0260982367785434	-4.18654656639958
hsa04720	-0.0157254064200716	-2.65219130598155	0.0086556966200194	0.0260982367785434	-4.18654656639958
hsa05031	-0.0157254064200716	-2.65219130598155	0.0086556966200194	0.0260982367785434	-4.18654656639958
hsa05143	-0.0157254064200716	-2.65219130598155	0.0086556966200194	0.0260982367785434	-4.18654656639958
hsa04510	0.0276642127538649	2.62948532405321	0.0092338109743202	0.0274257967744734	-4.24460166066257
hsa04072	0.0193688322640342	2.62245230535001	0.00941979397825404	0.0275667500245964	-4.26248953306999
hsa04610	0.0301347481291661	2.60854899128886	0.00979739423827211	0.0282562529480602	-4.29772003254856
hsa05010	0.013042261098871	2.59526159137693	0.0101709123027996	0.0289144506893875	-4.33122661942894
hsa05219	0.0192395433678101	2.57343746961623	0.0108121914506302	0.0303045929390903	-4.38591349539544
hsa05016	0.0141851597829046	2.55995781521287	0.0112261458239279	0.0310278197078008	-4.41947528214094
hsa05212	0.0103297934875264	2.55379054065167	0.0114202257811706	0.0311318483623692	-4.4347756915879
hsa04060	0.0169901748210828	2.47603759077997	0.0141374254697586	0.0380182117362426	-4.62470735831702
hsa04140	-0.00791506079081317	-2.47027395225167	0.0143600664370699	0.0381020429463587	-4.63856723707838
hsa05414	0.025580637259929	2.44158293314727	0.0155153715469406	0.0406257754979103	-4.7071091766896
hsa00630	-0.0128460772560852	-2.42701006236674	0.0161331658690743	0.0415128006173184	-4.74163490194398
hsa04150	0.00934042234947619	2.42381831068592	0.0162713489856826	0.0415128006173184	-4.74917076321796
hsa00604	0.00910041971730857	2.41262074701903	0.0167644580304014	0.0422294575702517	-4.77553484417089
hsa04662	0.0225580793706062	2.37808056380806	0.0183697894819839	0.0445803427672537	-4.8561330318999
hsa05203	0.0225580793706062	2.37808056380806	0.0183697894819839	0.0445803427672537	-4.8561330318999
hsa05218	0.0225580793706062	2.37808056380806	0.0183697894819839	0.0445803427672537	-4.8561330318999
hsa04623	0.00969519690987886	2.3581112719491	0.0193585048201994	0.045905601021392	-4.9022303462246
hsa05160	-0.00741697223520354	-2.35687292572319	0.0194213325308876	0.045905601021392	-4.90507687114968
hsa00564	-0.0133934686807873	-2.35286349846846	0.0196259848359658	0.045905601021392	-4.9142834535585
hsa00620	0.0135358416070368	2.34732607139778	0.0199117504843183	0.045905601021392	-4.92697433122599
hsa04750	0.00981206632477249	2.34430331356834	0.0200692828585985	0.045905601021392	-4.93389007629359
hsa04115	-0.0116884371588208	-2.32699856233087	0.020992397362608	0.0474714440358977	-4.97331931696135
hsa00100	-0.00893438498246812	-2.28359060835712	0.0234738194942291	0.0523993601992805	-5.07100843159878
hsa05161	-0.0201675664473568	-2.27986645969301	0.0236982031052022	0.0523993601992805	-5.07930841910334
hsa05216	-0.0119193469972654	-2.23672565578332	0.0264372929534039	0.057813420854147	-5.17451918085762
hsa04215	0.00732528897547668	2.22314854566481	0.027354538703543	0.0581585919212865	-5.20412621022362
hsa05133	0.00732528897547668	2.22314854566481	0.027354538703543	0.0581585919212865	-5.20412621022362
hsa00561	-0.0085755801880163	-2.22144007365428	0.027471897691462	0.0581585919212865	-5.20783966826006
hsa05100	0.00960768063143735	2.20718305882775	0.0284684278771481	0.0587770402749902	-5.23872223878698
hsa05144	-0.0129189001326839	-2.2019177510976	0.0288443153816968	0.0587770402749902	-5.25007977060586
hsa04931	0.00764360923044327	2.20111114683472	0.0289022771304569	0.0587770402749902	-5.25181737690844
hsa05225	0.014402687801045	2.19739063246497	0.0291709391853446	0.0587770402749902	-5.2598243577806
hsa05200	0.0171264521861119	2.19301384016143	0.0294897617149274	0.0587770402749902	-5.26922722427289
hsa03450	0.00871701002840597	2.19237974652212	0.0295362011432112	0.0587770402749902	-5.27058799745352
hsa00980	-0.0289490102679422	-2.18024323052931	0.0304373439600241	0.0591857017797476	-5.29656091253106
hsa05210	0.00902015255724997	2.17761931664149	0.0306352703487444	0.0591857017797476	-5.30215820545675
